símbolo,n,"symbol. Person, place, object or action that represents something tangible or abstract","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
tono,n,"tone. General character, mood, or trend","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
trama,n,"the plot of a story","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
crónica,n,"chronicle. A written account of events and when they happened, ordered by time.","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
flashback,n,"flashback. A narrative technique in which an earlier event is inserted into the normal chronological flow","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
fluir de conciencia,n,stream of consciousness,"Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
narrador omnisciente,n,"an all-knowing narrator","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
narrador limitado,n,"a narrator with limited knowledge","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
narrativa en primera persona,n,"narrative written or told in first person","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
prefiguración,n,foreshadowing,"Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
punto de vista o perspectiva,n,point of view or perspective,"Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
heptasílabo,n,verse with seven syllables,"Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
octosílabo,n,verse with eight syllables,"Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
endecasílabo,n,verse with eleven syllables,"Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
alejandrino,n,"verse of 14 syllables divided into two hemistichs of 7 syllables each.","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
arte menor,n,"verse with eight or less syllables","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
arte mayor,n,"verse with more than eight syllables","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
encabalgamiento,n,A technique in poetry whereby a sentence is carried over to the next line without pause.,"Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
estribillo,n,chorus. Refrain or a repeated phrase or line that is used again and again throughout a poem,"Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
lírica,n,"literary genre in which the author conveys feelings, emotions or feelings about a person or object of inspiration.","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
poema épico,n,"epic poem. Long, narrative poem that is usually about heroic deeds and events that are culturally significant","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
redondilla,n,"stanza which consists of four verses, usually eight syllables each","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
romance,n,"Poem with indefinite series of verses, in which the even-numbered lines have a near-rhyme (assonance) and the odd lines are unrhymed.","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
sinalefa,n,"ellision: term for leaving out letters in a word in order to form a shorter word-often a word with fewer syllables.","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
soneto,n,"sonnet. A poem of fourteen lines using any of a number of formal rhyme schemes","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
verso agudo,n,verse stressed on the last syllable,"Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
verso esdrújulo,n,verse stressed on the third-to-last syllable,"Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
verso llano,n,verse stressed on the second-to-last syllable,"Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
acción dramática,n,"dramatic action (Expresión de los movimientos que se producen en los niveles internos y externos de los personajes.)","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
exposición,n,"exposition. The act of explaining","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
nudo o clímax,n,moment of maximum tension in a story,"Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
desenlace,n,"outcome. Events following the climax","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
acotaciones,n,"annotations. Critical or explanatory comments in a story","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
aparte,n,"aside. A dramatic device in which the character briefly speaks to the audience","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
comedia [nueva] del Siglo de Oro,n,"theatrical work from the 17th century, which is considered to be the Golden Age of spanish theatre","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
dramaturgo,n,playwright,"Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
teatro del absurdo,n,"theater of the absurd. A form of drama that emphasizes the absurdity of human existence","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
anáfora,n,"Anaphora. The repetition of a phrase at the beginning of phrases, sentences, or verses, used for emphasis.","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
antítesis,n,"antithesis. A proposition that is the diametric opposite of some other proposition.","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
apóstrofe,n,"Apostrophe. A sudden exclamatory piece of dialogue addressed to someone or something, especially absent.","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
circunlocución o perífrasis,n,"A roundabout, or indirect way of alluding to something.","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
elipsis,n,"ommision of words in phrases or sentences without changing the inferred meaning","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
enumeración,n,"Enumeration. A detailed account, in which each thing is specially noticed.","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
eufemismo,n,"Euphemism. The use of a word or phrase to replace another with one that is considered less offensive","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
gradación,n,"Gradation. A sequence of gradual, successive stages; a systematic progression.","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
hipérbaton,n,"inversion of the usual order of words for poetic effect","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
Barroco,n,"Baroque. Literary Cultural period that took place between 1580-1700 in Spain characterized by complexity and extragavance","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
Boom,n,"time of great boom of Latin-American literature that began in 1940","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
Colonial,n,"Literature produced during the colonization of the Americas","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
Edad Media (medieval),n,"The Middle Ages. Period between the Fifth Century and the arrival of Columbus to America.","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
Generación del 98,n,"a group of novelists, poets, essayists, and philosophers active in Spain at the time of the Spanish–American War","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
libro de caballerías,n,"Popular form of literature in Spain during the middle ages that celebrates Knighthood and chivalry","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
modernismo,n,"End of Nineteenth- and early Twentieth-century Spanish-American modernist literary movement, best exemplified by Rubén Darío.","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
naturalismo,n,"realist literary movement in the mid-nineteenth century that portrayed a more objective (rather than romantic) vision of reality","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
novela picaresca,n,"Picaresque novel. A novel which depicts the adventures of a hero of low social class who lives by his wits in a corrupt society.","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
pícaro,n,"The clever, lower-class protagonist of a novela picaresca.","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
realismo,n,"realism. Literary movement that depicted description of everyday life","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
realismo mágico,n,"Latin-American literary movement that incorporates magical elements to otherwise realistic fiction","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
Renacimiento,n,"Spanish Renaissance. Revival of Greek and Latin classical antiquity that started in the middle of the fifteenth century","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
romanticismo,n,"Literary movement that started in early nineteenth century. Noted for being individualistic and deviating from classical precepts","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish
Siglo de Oro,n,"Golden Age. The golden age of Spanish literature covers the 16th century renaissance (Renacimiento) and 17th century baroque (Barroco)","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 4",Intermediate AP Spanish









